prompt	lamma_text	gen_text_len	orig_text_len
In diesem Kapitel werden wir Systeme betrachten, bei denen die Zeilenzahl m größer als die Spaltenzahl n ist. Demzufolge liegen mehr Bedingungen als Freiheitsgrade vor, sodass auch im Fall linear unabhängiger Spaltenvektoren keine Lösung des Problems existieren muss.		0	550
Im Zusammenhang mit der aktuellen Komplexitäts‑, Chaos‑ und Selbstorganisationsforschung erhalten die Begriffe ‚Muster’/‚Ordner’/‚Attraktor’ eine zentrale Stellung für die Analyse und Veränderung/Intervention in verschiedenen sozialund naturwissenschaftlichen Disziplinen – u. a. bei der Bedeutung von Chaos im Psychotherapieprozess (vgl. Strunk und Schiepek 2014) sowie in sprach‑, kulturund naturwissenschaftlichen Feldern (vgl.	Gell-Mann/Weinberg 1975).	25	914
Am Ende dieses Buches sollten wir uns nun abschließend einmal fragen, ob wir den Kosmos als Ganzen nach allen zuvor angestellten Überlegungen nun eigentlich besser verstanden haben. Kommen wir deswegen noch einmal auf die Ausgangsfrage des Buches zurück: Können wir nach allen Rätseln, die das Universum in Form seiner von uns beobachteten Eigenschaften aufgibt, dennoch hoffen, das Weltganze, das sich hinter diesen Eigenschaften verbirgt, zu verstehen?	Die Antwort darauf ist offensichtlich: Nein. Unser Verständnis des Kosmos als Ganzes bleibt immer noch begrenzt und unvollständig. Trotz der vielfältigen Erkenntnisse über die Naturgesetze, die Struktur von Materie und Energie sowie die Entstehung und Entwicklung des Universums in den letzten Jahrhunderten sind wir immer noch weit entfernt davon, das Weltganze im vollen Umfang zu verstehen. Die Frage ist nun: Was können wir tun, um unser Verständnis für dieses komplexe System weiterzuentwickeln? Eine mögliche Antwort darauf besteht darin, uns auf die vielfältigen Weisungen und Anweisungen in der Natur zu konzentrieren. Diese Weisungen sind nicht nur im Bereich der Physik oder Chemie begründet, sondern auch in anderen Wissenschaftsbereichen wie Biologie, Geowissenschaften oder Soziologie. Ein weiterer Schritt besteht darin, die verschiedenen Disziplinen und Forschungsrichtungen besser miteinander zu vernetzen.	922	1067
Das vorliegende Kapitel der vorliegenden Dissertation ist ebenfalls in der Form eines wissenschaftlichen Arbeitspapiers strukturiert und widmet sich der Approximation von Markenindikatoren durch Social Media Analytics. Die Studie ist auf die in Kapitel 1.2 erläuterten Forschungsfragen 3 und 4 ausgerichtet.	Inhaltsverzeichnis: 1. Einleitung 1.1 Motivation der Arbeit 1.2 Ausrichtung der Arbeit 1.3 Struktur der Arbeit 1.4 Zusammenfassung 2. Theoretische Grundlagen 2.1 Markenindikatoren 2.2 Social Media Analytics 2.3 Approximationsverfahren 2.4 Machine Learning und Data Mining 2.5 Benutzer-Generierte Inhalte (UGC) 2.6 Online Community Platforms (OCP) 3.	349	414
Zur Abklärung urologischer Fragestellungen stehen CT und MRT als schnittbildgebende Verfahren zur Verfügung. In Notfallsituationen – wie bei akuten Blutungen, Trauma oder einer Nierenkolik mit vermuteter zugrunde liegender Urolithiasis – stellt die CT die Modalität der Wahl dar.	Die MRT kann als Ergänzung zur CT in Fragen der Lokalisation von Steinbildnissen im Harnweg dienen, insbesondere bei Patienten mit Allergien oder Kontraindikationen für Kontrastmittel (z. B. Nierenerkrankungen). Die Bildgebung erlaubt die Diagnose einer Urolithiasis und ermöglicht zusätzlich Informationen über den Ort, die Größe und Form der Steine sowie eventuelle Veränderungen im Harnwegsrachen (z. B. bei einem obstruktiven Urinsekret). Die Therapie von Urolithiasis umfasst in erster Linie Maßnahmen zur Steinentfernung, wie z. B. medikamentöse Lockerung oder katheterchirurgische Interventionen (z. B. Extraktion der Steine per Urethroskopie). In zusätzlicher Therapie können Medikamente zum Schutz des Harnwegs und zur Vorbeugung von neuer Steinbildung eingesetzt werden, z.	783	767
Ob in Chemikalien oder Farbstoffen — wer krebserregenden Verbindungen der Aminoaromaten im Beruf ausgesetzt ist, dem droht ein Tumor der ableitenden Harnwege. Vermutet ein Arzt bei Patienten eine Berufskrankheit, ist er gesetzlich verpflichtet, das zu melden.	In diesem Fall hat die Arbeitsmedizin den Verdacht geäußert und die zuständige Behörde informiert. Die betroffenen Arbeitgeber müssen nun prüfen lassen, ob sie in der Vergangenheit bereits Berichte über Krebserkrankungen bei ihren Mitarbeitern eingereicht haben.	262	259
Sowohl auf internationaler als auch auf europäischer und nationaler Ebene bestehen normative Vorgaben zum Datenschutzrecht. Diese bauen historisch aufeinander auf oder leiten sich voneinander ab.	Die wichtigsten rechtlichen Grundlagen für den Schutz personenbezogener Daten in der Europäischen Union sind:  1. Die Richtlinie 95/46/EG des Europaparlaments und des Rates vom 24. Oktober 1995 zur Schützung natürlicher Personen bei der Verarbeitung ihrer personenbezogenen Daten, als geklärt durch den Beschluss Nr. 1248/2002 (PDF) des Europäischen Parlaments und des Rates vom 27.	382	382
Das Kapitel umfasst eine ausführliche Darstellung der Tumoren des Skelettsystems, wobei nahezu alle in der aktuellen WHO-Klassifikation erfassten Entitäten in Bezug auf Pathogenese, Epidemiologie und Manifestationsalter, Lokalisation und Symptomatik, Morphologie, Verlauf und Differentialdiagnose abgehandelt werden. Besonderes Augenmerk wird darauf gelegt, die Zusammenhänge zwischen den bildgebenden Befunden (Röntgenbild, Schnittbildgebung) und den pathologisch-anatomischen Befunden zu verdeutlichen.	### Primäre bösartige Tumoren des Skelettsystems  Die primären bösartigen Tumoren des Skelettsystems sind:  1. Osteosarkome (primäres Knochenmarkstümpelkarzinom) 2. Chondrosarkome (primäre chondrozytare Karzinome) 3. Ewing-Sarkome (primärer bösartiger Tumor des Beckens und der langen Röhrenknochen) 4. Fibosarkome (primäres Knochentumor) 5. Chordomsarkome (primäre Karzinomerkrankung im Bereich von Nervenwurzeln) 6. Angiosarkomas (maligne Vaskulärtumoren) 7. Giant-Cell-Tumoren (benignes Knochentumore mit Osteoklastenaktivität) 8. Leiomyosarkome (primäre runde Magenschichtenkarzinome) 9.	591	673
Dieser Beitrag erörtert Grundlagen der Steuerpolitik. Er definiert die Zwecke der Besteuerung, unterscheidet die wichtigsten Steuertypen, diskutiert generelle steuerpolitische Entwicklungen der letzten 50 Jahre und vergleicht die nationalen Steuersysteme von Ländern innerhalb und außerhalb der OECD.	## Grundlagen der Besteuerung  Die Besteuerung ist ein wichtiger Faktor in jeder Gesellschaft, um öffentliche Güter zu finanzieren und soziale Ungleichheiten zu verringern oder auszugleichen. Die Zwecke der Besteuerung können dabei unterschiedlich sein:  1. Einnahmen für den Staat: Die Hauptaufgabe der Steuerpolitik ist es, genügend Einkommen für die öffentliche Hand zur Verfügung zu stellen.	395	448
Diese Patientenleitlinie ist die laienverständliche Darstellung der wissenschaftlichen Leitlinie „Diagnostik und Therapie von Essstörungen“. Sie richtet sich an Menschen, die an einer Essstörung erkrankt sind, an ihre Angehörigen und Personen, die ihnen nahe stehen sowie an professionelle Helfer.	Die Patientenlelinie gibt einen Überblick über:  1. Die Bedeutung von Ernährungsberatern und Therapeuten bei der Behandlung essstörbedingter Probleme. 2. Wie man sich für eine Beratung aussucht und welche Fragen dabei relevant sind (z. B.: Anspruch auf ärztliche Versorgung, Kostenübernahme durch die Krankenkasse). 3.	318	297
