prompt	lamma_text	gen_text_len	orig_text_len
prompt	lamma_text	gen_text_len	orig_text_len
 Das ganze Jahr lang gurken wir an dieser Stelle   Da wollen wir das Jahr mit einer versöhnlichen   ausklingen lassen und die von uns so oft verspotteten   loben. Denn gestern gelang dpa eine der schönsten Schlagzeilen des Jahres: „  Drei k und drei m – ein saubere Alliteration.	In diesem Fall handelt es sich um das Ergebnis einer Umfrage, die die Deutsche Presse-Agentur (dpa) durchgeführt hat. Dabei fragte man 1028 Personen aus verschiedenen Altersgruppen, Berufsgruppen und Regionen nach ihren Favoriten in den Bereichen Musik, Film/Fernsehen und Literatur.	283	382
 Das mit Rahm unterzuckerte Rhabarberkompott war köstlich gewesen, die auf filigranen Spinatblättern ruhenden grünen Spargelspitzen nicht minder. Doktor Sedgeway ließ mit einem leisen Surren die gusseisernen Rolläden herunter, dann trug Aileen die Rouladen auf.	Das Gericht war ein Geschenk von Lady Clemency, einer Dame aus der Oberschicht, und hatte sie zuvor selbst zubereitet.	118	1063
  | Der Online-Händler Amazon will nach eigenen Angaben seine Einnahmen aus dem Verkauf der sogenannten Pegida-Hymne an Flüchtlinge spenden. Kurz vor dem Jahreswechsel hatte die rechtspopulistische Bewegung den Song „Gemeinsam sind wir stark“ der Band „Peggy Sounds“ zum Download für jeweils 1,29 Euro ins Netz gestellt.		0	1087
  | Die Angst in Belgien bleibt: In Brüssel ist ein weiterer Verdächtiger im Zuge der Ermittlungen zu den Anschlägen von Paris inhaftiert worden. Dem 22-jährigen Ayoub B. aus dem Brüsseler Brennpunktviertel Molenbeek würden „terroristische Morde und Beteiligung an den Aktivitäten einer Terrorgruppe“ vorgeworfen, teilte die belgische Staatsanwaltschaft am Donnerstag mit.	Die französische Polizei hatte im Zuge der Ermittlungen zu den Anschlägen in Paris am 13. November 2015 Ayoub B. verhaftet und an Belgien ausgeliefert. Der Mann soll laut französischen Behörden enge Verbindungen zur Terrorgruppe um Salah Abdeslam gehabt haben, der im April 2016 in Brüssel festgenommen wurde. Die belgische Staatsanwaltschaft hatte Ayoub B. am Montagabend unter Hausarrest gestellt und ihm eine Reihe von Beschränkungen auferlegt, darunter das Verbot, Kontakt zu anderen Verdächtigen der Terrorgruppe um Abdeslam herbeizuführen. Die belgische Justiz erhebt gegen Ayoub B. Anschuldigungen wegen „terroristischer Morde und Beteiligung an den Aktivitäten einer terroristischen Gruppe“, teilte die Staatsanwaltschaft mit. Der 22-jährige Mann sei in Untersuchungshaft genommen worden, um seine Rolle bei der Terrorgruppe zu klären.	843	1756
  | Heftiger Seegang hat vor der Küste Norwegens die Arbeiter auf mehreren Bohrplattformen in Gefahr gebracht. Ein Mensch kam in der Nacht auf Donnerstag durch eine Riesenwelle ums Leben.	Die Polizei ermittelte und schloss das Unglück für unaufhaltsam, weil es weiterhin zu starkem Wetter kommt. Die Bohrplattformen waren nicht mehr sicher, sagten die Behörden am Freitagabend.	189	1533
 Das Jahr begann lustig mit einem freundlich schauenden Polizisten, der während einer Streifenfahrt Taylor Swifts „Shake It Off“ mitsang. Seine Textsicherheit und theatralischen Tanzmoves machten das Video zu einem der meistgeschautesten auf YouTube in diesem Jahr.	Die Internet-Community war begeistert von dem ungewöhnlichen Szenario, bei dem ein Polizist seine Liebe zur Musik zeigt und dabei auch für Ordnung sorgt. Das Video wurde innerhalb kürzester Zeit zu einem viralen Hit auf sozialen Medien wie Twitter, Facebook und Instagram. Die positive Resonanz zeigte, dass die Öffentlichkeit eine Art von „Polizist-Held“ schätzt, der nicht nur für Sicherheit und Ordnung sorgt, sondern auch seine Leidenschaft zur Musik zeigt. Das Video wurde zu einem Symbol dafür, wie Polizeibeamte ihre Arbeit mit Humor und Lebensfreude kombinieren können. Die positive Resonanz des Videos hat dazu beigetragen, das Image der Polizistinnen und Polizisten in der Gesellschaft positiver zu gestalten.	719	4603
 Nach den spektakulären flüchtlingspolitischen Erfolgen im letzten Jahr gibt Angela Merkel für 2016 eine neue Einwanderungsdoktrin aus. Im Rahmen der Aktion „Goldener Käfig” sollen die EU-Außengrenzen noch stärker gesichert werden – zugleich aber auch das Image von der deutschen „Willkommenskultur“.	Die Idee ist, dass jeder Flüchtling oder Migrant in Deutschland einen speziellen Geldbetrag erhält. Dieser Betrag sollte genug sein um den Menschen zu ermöglichen, sich im eigenen kleinen "Goldenen Käfig" zu verstecken und die deutsche Gesellschaft aus der Entfernung zu beobachten.	282	7314
  | Mit negativen Pauschalurteilen über Muslime lässt sich Kasse machen. Das hat auch die Bochumer Streifenpolizistin Tania Kambouri verstanden.	Sie hat bei der Polizei in Nordrhein-Westfalen mehr als 200 Menschen ausgebildet, darunter viele Kollegen und Beamte von anderen Institutionen wie Flughafenverwaltungen oder Bundeswehrsoldaten. Kambouri bietet ihre Ausbildungslehrgänge seit Jahren an – mit einer Besonderheit: Sie gibt sich als Muslimin aus, obwohl sie keine solche Identität hat. Ihre Methoden und Techniken basieren auf fiktiven Geschichten über eine muslimische Familie in Deutschland, die sie selbst erfunden hat. Die Ausbildungslehrgänge von Tania Kambouri sind jedoch nicht nur umstritten, sondern auch gefährlich: Sie vermitteln ein falsches und verächtiges Bild von Muslimen und riskieren damit, gesellschaftliche Spannungen zu erhöhen. Die Polizei in Nordrhein-Westfalen sollte sich darum kümmern, dass solche Lehrgänge nicht mehr angeboten werden.“  – Human Rights Watch: 20.	852	5560
  | Im Ukraine-Konflikt haben die OSZE-Beobachter im Krisengebiet beiden Seiten Verstöße gegen die vereinbarte Waffenruhe vorgeworfen. In der Unruheregion sei erneut mit Artillerie geschossen worden, obwohl das Kriegsgerät längst von der Frontlinie abgezogen sein müsste, sagte Alexander Hug von der Organisation für Sicherheit und Zusammenarbeit in Europa (OSZE) am Donnerstag in Kiew.	Die Beobachter hätten auch Berichte über Plünderungen und Raubüberfälle aufgenommen, die sich hauptsächlich gegen Zivilisten richten würden, erklärte Hug weiter. Die Sicherheitskräfte seien jedoch nicht in der Lage, diese Verbrechen zu verhindern oder aufzuklären, so dass sie ungesühnt blieben.	295	1233
  | Polens Parlament hat am Mittwochabend eine umstrittene Medienreform beschlossen. Betroffen sind das öffentlich-rechtliche Fernsehen und der Rundfunk.	Die Reform soll die Unabhängigkeit von Politikern und Parteien stärken, indem sie den Aufsichtsrat des öffentlich-rechtlichen Senders neu formiert. Die Kritiker argumentieren jedoch, dass diese Maßnahme nicht ausreichend ist, um das politische Einflussniveau zu senken.	269	3297
 Bitzzzzzzzzzzz. Die Zündschnur brennt, knistert.	Bitte beachten Sie die folgenden wichtigen Informationen:  * Der Zugang erfolgt über eine Sicherheitsabteilung und wird von einer Person kontrolliert. Bitte benutzen Sie bitte Ihre gültige Identifikationskarte oder Passerschein, um den Zugangsprozess zu vereinfachen. * Es ist wichtig, dass Sie sich an die Regeln der Anlage erinnern: Keine E-Zigaretten, keine offenen Flammen und kein Verbrennen von Gegenständen im Laboratorium. Stellen Sie bitte Ihre E-Zigaretten auf den Zünder oder fügen Sie sie zu einer gegebenen Zeit automatisch ab, um eine sichere Entsorgung der Abfallprodukte zu gewährleisten. * Wenn Sie Bedenken über die Sicherheit im Labor haben, wenden Sie sich bitte an Ihre Vorgesetzten oder den Arbeitsschutzbeauftragten. Wir sind dafür verantwortlich, um unseren Mitarbeitern ein sicheres und gesundes Arbeitsumfeld zu bieten. * Wenn Sie Fragen zum Thema Sicherheit im Labor haben, wenden Sie sich bitte an Ihre Vorgesetzten oder den Arbeitsschutzbeauftragten. Wir sind dafür verantwortlich, um unseren Mitarbeitern ein sicheres und gesundes Arbeitsumfeld zu bieten. * Bitte beachten Sie die Sicherheitsrichtlinien für das Laboratorium, insbesondere in Bezug auf die Handhabung von Chemikalien und anderen gefährlichen Materialien. Wenn Sie Fragen zum Thema Arbeitsschutz haben, wenden Sie sich bitte an Ihre Vorgesetzten oder den Arbeitsschutzbeauftragten. * Die Sicherheitsrichtlinien für das Laboratorium werden regelmäßig überprüft und aktualisiert, um die höchsten Standards der Arbeitssicherheit zu gewährleisten. Wenn Sie Fragen zum Thema Arbeitsschutz haben, wenden Sie sich bitte an Ihre Vorgesetzten oder den Arbeitsschutzbeauftragten.	1664	1760
  | Die belgische Hauptstadt Brüssel blickt einer Silvesternacht ohne Feuerwerk entgegen. Das Spektakel inklusive Begleitprogramm fällt wegen Terrorgefahr aus.	Die Entscheidung wurde von der Stadtverwaltung getroffen, nachdem die Sicherheitskräfte eine "höchst bedenkliche" Situation festgestellt hatten. Die belgische Regierung hatte bereits am 21. Dezember bekannt gegeben, dass das Silvesterfeuerwerk in Brüssel aus Sicherheitsgründen abgesagt wird. Die Entscheidung hat massive Proteste von Bürgern und Geschäftsleuten zur Folge, die sich über die Absage beschwerten.	411	4397
  | Kanzlerin Angela Merkel (CDU) hat trotz aller Probleme die mit den vielen Flüchtlingen verbundenen Chancen für Deutschland betont und zum Zusammenhalt gegen Fremdenhass aufgerufen. „Es kommt darauf an, denen nicht zu folgen, die mit Kälte oder gar Hass in ihren Herzen ein Deutschsein allein für sich reklamieren und andere ausgrenzen wollen“, sagte sie in ihrer vorab veröffentlichten Neujahrsansprache, die an diesem Donnerstag ausgestrahlt werden soll.	Die Bundesregierung werde „mit allen verfügbaren Mitteln“ helfen, um den Flüchtlingen und Migranten eine Chance auf ein neues Leben in Deutschland zu geben, betonte Merkel weiter. Sie erklärte auch, dass sie sich für die Sicherheit der Bürger im Land verantwortlich fühlt: „Wir müssen unsere Gesellschaft stets gegen Bedrohungen schützen und dabei den Schutz von Mensch und Umwelt als höchste Priorität wahren.“  Die Kanzlerin betonte zudem, dass es wichtig ist, die Werte der deutschen Verfassung zu verteidigen.	513	3222
  | Ab Neujahr müssen sich in Deutschland auch Flüchtlinge aus Syrien wieder einer ausführlichen Einzelfallprüfung unterziehen. Die Behörden kehren damit zur alten Praxis zurück, bei allen neu ankommenden Asylbewerbern Herkunft, Ausbildung und Fluchtweg unter die Lupe zu nehmen.	Die Bundesregierung hat das neue Verfahren im Sommer 2016 eingeführt, um die Anzahl der von Deutschland nach Syrien abgeschobenen Flüchtlingen zu reduzieren. Das sogenannte „Dublin-Verfahren“ sah vor, dass Asylbewerber in den ersten Ländern, an denen sie sich melden, ihre Ansprüche bearbeiten lassen müssen. Im Januar 2016 hatte das Bundesverfassungsgericht die Anwendung des Dublin-Verfahrens für unconstitutional erklärt und es bis zur Neuregelung verboten.	460	2087
  | Seit Dienstag morgen ist der slowenisch-österreichische Grenzübergang an der Bundesstraße B67 in Spielfeld wieder für PKWs passierbar. Wegen der Massenankünfte von Flüchtlingen war er im Oktober gesperrt worden.		0	3934
  | Erstmals seit dem historischen Atomabkommen mit dem Iran bereiten die USA Medienberichten zufolge neue Sanktionen gegen die Islamische Republik vor. Die Strafmaßnahmen sollen sich gegen fast ein Dutzend Firmen und Einzelpersonen im Iran, in Hongkong und den Vereinigten Arabischen Emiraten richten, meldeten CNN und das   unter Berufung auf Regierungsvertreter.	Die Maßnahmen sollen laut CNN die Finanzierung von Waffenprogramm des Irans einschränken sowie dessen Nuklear- und Ballistische Raketensysteme beeinträchtigen. Die USA werfen dem Iran vor, seine Streitkräfte mit modernen Waffensystemen zu versorgen, was laut CNN die Sicherheit in der Region bedroht. Ein Regierungsvertreter sagte CNN zufolge: "Wir werden alle Mittel und Instrumente einsetzen, um das iranische Regime von den Ressourcen abzuschneiden, die es benötigt, seine aggressive Außenpolitik fortzusetzen."	514	1960
  | Ein Kindergarten im ostukrainischen Artemiwsk. Buntes Treiben auf der Bühne.	Eine Gruppe von Kindern in verschiedenen Rollen, die sie spielen: ein Pferd (mit einer roten Fahne), ein Baum (mit grünem Laub) und eine Blume (in den Farben des ukrainischen Nationalflaggons). Die Kinder sind auf der Bühne und singen gemeinsam das Lied "Kolosy" ("Giganten") von Oksana Mastajewa. Sie tanzen dazu und gesticulieren mit ihren Puppen, um ihre Rolle zu unterstreichen. In der Mitte des Bildes ist ein kleiner Tisch aufgestellt, darauf stehen einige Puzzle-Teile, die Kinder benutzen, um ihre geistige Entwicklung zu fördern. Im Hintergrund sind Bilder von bekannten Figuren aus Kinderbüchern und Filmen angebracht, wie z. B. Micky Mouse oder das Schneewittchen. Die Wände des Kindergartens sind mit farbenfrohen Malereien verziert, die verschiedene Themen darstellen: Tiere, Blumen, Obstbäume usw. Einige der Kinder sitzen auf ihren Plätzen und lesen aus Büchern oder spielen mit ihren Spielzeugen.	912	2678
