prompt	lamma_text	gen_text_len	orig_text_len
Katsura Hoshino (jap. 星野桂 Hoshino Katsura; * 1980-04-21 in der Präfektur Shiga, Japan) ist eine japanische Manga-Zeichnerin.	Hoshinos bekanntestes Werk ist das seit 2006 erscheinende Shōjo-Manga DearS, für den sie bei der Shogakukan Manga Award Kategorie Shōjo nominiert wurde. Sie hat außerdem mehrere Kurzgeschichten veröffentlicht und arbeitet an verschiedenen Projekten. ## Werke (Auswahl)  * 2005: Hoshi no Umi (星の海, dt. „Ozean der Sterne“) – ein One-Shot-Manga in dem sie ihre Fähigkeiten als Zeichnerin und Autorin unter Beweis stellt. Der Manga wurde im Januar des Jahres veröffentlicht. * 2006–2017: DearS (ディアス, Diāsu) – ein Shōjo-Manga, der seit April 2006 in Japan erscheint und über 3 Millionen Exemplare verkauft hat (Stand März 2018). Der Manga wurde auch ins Englische, Französische, Koreanische, Chinesische und Tagalog übersetzt. * 2014: DearS - The First Tale (ディアス THE FIRST TELL, Diāsu Za Furīsto Tore) – ein One-Shot-Manga, der im Januar des Jahres veröffentlicht wurde und die Vorgeschichte von DearS erzählt. * 2016: DearMyu (ディアムユー, Diāmu Yū) – eine Light Novel Reihe, die auf dem DearS-Universum basiert und seit Mai des Jahres erscheint. Hoshino ist für das Konzept und die Illustrationen verantwortlich. * 2017: DearS - Another Tale (ディアス THE OTHER TELL, Diāsu Za Ataeru Tore) – ein One-Shot-Manga, der im Januar des Jahres veröffentlicht wurde und eine alternative Geschichte von DearS erzählt.	1298	1328
Guten Tag liebe Wikipedia-User! - Ich bin Student an der Hochschule für Musik Köln.		0	267
 Bildlizenzen Hallo! Schau doch bitte mal unter Wikipedia:Bilder ohne Lizenzangabe/0-9 nach.		0	302
Babel: Dieser Benutzer befindet sich innerhalb des bekannten Universums. Dieser Benutzer kommt aus der Milchstraße.		0	1436
Hallo *Frasier*! Wie ich sehe bist du auch Monarchist?	Ich bin mir nicht sicher ob das ein guter oder schlechter Faktor ist. Es gibt viele Argumente für und gegen die Monarchie, aber letztendlich hängt es von der Person ab, welche Seite sie vertritt.	195	238
 Hallo Dies ist keine automatisch erstellte Nachricht. Ich habe gesehen, dass du vor kurzem angefangen hast, dich an der Wikipedia zu beteiligen.	Das ist fantastisch! Wenn du Lust hast, kann ich dir helfen, Informationen über das Verfassen von Artikeln in deutscher Sprache auf der Wikipedia zu geben. Du wirst feststellen, dass es eine Menge Leute gibt, die gerne dabei sind, um deine Fähigkeiten im Schreiben und Bearbeiten von Artikelinhalten auszubauen. Wenn du Interesse hast, kann ich dir helfen, indem ich dir Tipps und Tricks zur Verfügung stelle oder du mich jederzeit kontaktieren könnenst.	454	1337
Ich habe gesehen, dass du angefangen hast, dich an der Wikipedia zu beteiligen. Weil deine Diskussionsseite aber noch leer ist, möchte ich dich kurz begrüßen.	Wenn du Lust hast, kannst du auf meiner Diskussionsseite über mich antworten und uns eine Unterhaltung gestalten. Du wirst jedoch nicht erwartet, regelmäßig mitzuteilen oder zuzuhören. Stelle deine Fragen, teile deine Gedanken und Erfahrungen aus – ich werde versuchen, auf deine Bemerkungen einzugehen. Bitte lass es mich wissen, wie du möchtest, dass wir uns unterhalten - per E-Mail, über soziale Netzwerke oder hier in der Diskussionsseite.	444	3658
Inhaltsverzeichnis 1 Herzlich Willkommen! 1.1 Benutzerseite 1.2 Benutzer-Diskussion 1.3 Unterschrift 1.4 Bilder  Herzlich Willkommen!	Benutzerseite: Hier können Sie Ihre persönlichen Informationen, wie z.B. Ihr Profilbild und Ihren Namen, einrichten. Zusätzlich bietet die Seite einige Funktionen an, um Ihnen bei der Nutzung des Systems zu helfen. Benutzer-Diskussion: In dieser Abteilung können Sie Diskussionen mit anderen Benutzern teilnehmen und Fragen beantworten oder Themen diskutieren. Die Möglichkeit zur Registrierung ist hier ebenfalls enthalten, falls Sie noch nicht Mitglied sind. Unterschrift: Wenn Sie sich für ein bestimmtes Thema engagieren möchten, können Sie Ihre Unterstützung durch die Anmeldung und Abgabe einer persönlichen Erklärung unterstützen. Dies kann dazu beitragen, das Bewusstsein für wichtige Fragen zu erhöhen und eine Diskussion über sie anzuregen. Bilder: In dieser Abteilung können Sie Bilder hochladen oder von anderen Benutzern heruntergeladen werden.	857	2084
Hallo und herzlich willkommen bei der Wikipedia! Ich habe gesehen, dass Du neu angemeldet bist und die ersten Bearbeitungen am einen oder anderen Artikel vorgenommen hast.	Das ist fantastisch! Wenn Du Lust hast, kann ich Dir möglicherweise helfen, indem ich Dir Tipps und Hinweise für Deine Arbeit geben kann.	137	1258
Hallo *LordHelmchen*! Willkommen bei der deutschsprachigen Wikipedia!	Du kannst jetzt beginnen, Artikel zu erstellen oder bestehende Artikel zu bearbeiten. Du wirst schnell feststellen, dass die Arbeit an einer Enzyklopädie wie dieser viel Spaß macht und auch viele andere Leute dabei unterstützen werden.	235	278
