Text	Predicted Label Correct Label
" weltkrieg war nicht der erste krieg, der von den alliierten ( dem „ westen “ ) auf dem boden der „ freiheit und des friedens “ gefuhrt wurde. viele jahre zuvor, in der epoche des kulturkampfes, war eine ahnliche schlacht gegen den hl. stolz der katholischen kirche erfolgt. die „ rate “ des 19. jahrhunderts, die revolutionare sozialisten und kommunisten waren mit ihren „ anarchisten “ die „ terroristen “ des 20. jahrhunderts. ihr erbe hat sich in den kriegsverherrlichenden „ sicherheits “ - verfassungen der westlichen demokratien erhalten. „ jedes land, das von einer irgendwie sozialistischen, sozialdemokratischen oder kommunistischen regierung regiert wird, ist fur den westen der furchtbare feind, der angeblich die zivilisation und die freiheit bedroht. “ ( s. 361 ). „ jedes land, das von einer irgendwie sozialistischen, sozialdemokratischen oder kommunistischen regierung regiert wird, ist fur den westen der furchtbare feind, der angeblich die zivilisation und die freiheit bedroht. “ ( s. 361 ). anschaulich! " [SEP]	1	1
" auch dieses werk war in zahlreichen zeitungen abgedruckt worden und hatte einen hohen bekanntheitsgrad. im alten eisen erschien im november 1853 in der zeitschrift. im alten eisen ist eines von raabes besten werken und gilt als ein meisterwerk des realismus. " [SEP]	1	1
" die kunden sollen auch auf dem umweg durch das internet und in den meisten fallen auch als neukunde im online - shop akquiriert werden. der klassische kundenkontakt uber den kundenservice und den stationaren handel ist gleichzeitig der schlussel fur das online - marketing. um die forderung nach einheitlichkeit in der beratung und serviceleistungen zu erfullen, ist es unumganglich, die vertriebskanale ( internet, telefon, briefkasten ) und die kundenkontaktpunkte ( kundenservice, einzelhandel, online - shop ) zu integrieren und abzustimmen. " [SEP]	1	1
" die besucher von veranstaltungen im klassischen musikbereich haben die bisherige struktur der kundenbindung großtenteils verloren. das aufkommen neuer, schneller und leichter erreichbarer kommunikations - und informationstechnologien hat das informationsbedurfnis der kunden mit sich gebracht, was den kunden zu einer starkeren verfugbarkeit der kulturangebote und zur kritischeren prufung ihrer eigenen konsumentscheidungen fuhrt ( vgl. gortz 2008 : 81 ). die vermittlung von kulturangeboten hat sich in den letzten jahren enorm verandert und es kommt heute zum erliegen von langfristigen bindungen zwischen kultureinrichtungen und kunden. " [SEP]	1	1
" die grundlagen des spannungsfreien gesprachs sind : * die gemeinsame annahme einer gemeinsamen absicht, der lernende und der praxisanleiter gemeinsam eine losung zu finden ; * die aufmerksamkeit, die ein lernender in der kommunikation erhalt ; * das mitteilen von informationen und das verstandnis des inhalts ; * die freude, die beide gesprachspartner beim erlernen neuer fahigkeiten erleben. " [SEP]	1	1
" deshalb ist es wichtig, dass sie bei der entscheidung uber ein kommunikationskonzept die erwartungen der auftraggeber und auftragnehmer kennen. der auftraggeber, der sie beauftragt hat, ein kommunikationskonzept zu erstellen, wird sie sicherlich von ihnen uber seine anforderungen an das konzept unterrichten. das ist wichtig, um ihnen und dem auftraggeber klar zu sein, was sie von dem auftrag ubernehmen. dieses kapitel befasst sich mit der kommunikation zwischen auftraggeber und auftragnehmer. dabei geht es um die frage, ob das auftragsverhaltnis als arbeitnehmer - oder auftragnehmerverhaltnis gewertet werden kann. " [SEP]	1	1
" ). hinweise zur ausarbeitung einer „ erziehungs - und unterrichtsperspektive “ ( vgl. kp. ). die dokumentation von entscheidungsfallen ( vgl. kp. ). langere ausfuhrungen zu verschiedenen themen ( vgl. kp. ). vorsorgeberatung nach § 14 sgb viii ( vgl. kp. ). ausfuhrungen zu leistungen fur kinder mit besonderen bedurfnissen ( vgl. kp. ). leistungen fur schulische hilfen ( vgl. kp. ). leistungen nach dem bafog ( vgl. kp. ). leistungen nach dem schulentlastungsgesetz ( vgl. kp. ). " [SEP]	1	1
" die eigentliche praxispartie stellt die „ komplexitatsfrage “ vor, mit der das coaching angefangen wird : was hat mich angezogen? welche frage stelle ich mir? es folgen methoden zur bestimmung der fragestellung und der problemdefinition. fazit : dieser band ist fur diejenigen geeignet, die sich auf den prozess der komplexitat und auf die rolle des coaches als komplexitatsdetektor konzentrieren. " [SEP]	1	1
" die ermittelten ergebnisse wurden mit den erreger - nachweismengen der jahre 2012 und 2013 verglichen und sind dargestellt in den tabellen 1 bis 4. " [SEP]	1	1
" wir betrachten zunachst ein einfacheres beispiel. " [SEP]	1	1
