Model	Epoch	Timestamp	Learningrate	Train Loss	Validation Loss	Accuracy	Precision	Recall	F1 Score Macro	F1 Score Micro	MCC	AUROC
distilbert	1/10	2024-01-31 14:08:18	0.00030	0.70079	0.69840	0.5050	         0.2525	0.5000	0.3355	         0.5050	0.0000	0.5943
distilbert	2/10	2024-01-31 14:10:57	0.00030	0.69221	0.69715	0.5100	         0.7538	0.5051	0.3467	         0.5100	0.0716	0.6509
distilbert	3/10	2024-01-31 14:13:34	0.00030	0.68716	0.70605	0.5240	         0.6514	0.5193	0.3876	         0.5240	0.1082	0.4989
distilbert	4/10	2024-01-31 14:16:12	0.00030	0.69171	0.69559	0.5050	         0.2525	0.5000	0.3355	         0.5050	0.0000	0.6450
distilbert	5/10	2024-01-31 14:18:49	0.00030	0.69437	0.69412	0.5050	         0.2525	0.5000	0.3355	         0.5050	0.0000	0.6299
distilbert	6/10	2024-01-31 14:21:27	0.00030	0.69493	0.69355	0.5050	         0.2525	0.5000	0.3355	         0.5050	0.0000	0.4880
distilbert	7/10	2024-01-31 14:24:05	0.00030	0.69434	0.69371	0.5050	         0.2525	0.5000	0.3355	         0.5050	0.0000	0.5604
distilbert	8/10	2024-01-31 14:26:43	0.00030	0.69336	0.69352	0.5100	         0.7538	0.5051	0.3467	         0.5100	0.0716	0.5498
distilbert	9/10	2024-01-31 14:29:19	0.00030	0.69333	0.69327	0.5100	         0.7538	0.5051	0.3467	         0.5100	0.0716	0.6238
distilbert	10/10	2024-01-31 14:31:57	0.00030	0.69404	0.69306	0.5110	         0.7540	0.5061	0.3489	         0.5110	0.0785	0.3716
bert	1/10	2024-01-31 14:37:33	0.00030	0.70485	0.69376	0.4950	         0.2475	0.5000	0.3311	         0.4950	0.0000	0.4099
bert	2/10	2024-01-31 14:42:56	0.00030	0.70829	0.69340	0.5050	         0.2525	0.5000	0.3355	         0.5050	0.0000	0.5078
bert	3/10	2024-01-31 14:48:13	0.00030	0.70703	0.69430	0.5050	         0.2525	0.5000	0.3355	         0.5050	0.0000	0.6414
bert	4/10	2024-01-31 14:53:33	0.00030	0.70653	0.69665	0.5050	         0.2525	0.5000	0.3355	         0.5050	0.0000	0.6540
bert	5/10	2024-01-31 14:58:51	0.00030	0.70878	0.69497	0.5050	         0.2525	0.5000	0.3355	         0.5050	0.0000	0.6808
bert	6/10	2024-01-31 15:04:12	0.00030	0.70637	0.69762	0.5050	         0.2525	0.5000	0.3355	         0.5050	0.0000	0.4768
bert	7/10	2024-01-31 15:10:14	0.00030	0.70689	0.69871	0.5050	         0.2525	0.5000	0.3355	         0.5050	0.0000	0.4483
bert	8/10	2024-01-31 15:16:19	0.00030	0.70709	0.69598	0.5050	         0.2525	0.5000	0.3355	         0.5050	0.0000	0.5054
bert	9/10	2024-01-31 15:21:40	0.00030	0.70563	0.69812	0.5050	         0.2525	0.5000	0.3355	         0.5050	0.0000	0.4619
bert	10/10	2024-01-31 15:26:59	0.00030	0.70464	0.69760	0.5050	         0.2525	0.5000	0.3355	         0.5050	0.0000	0.4892
distilbert	1/10	2024-01-31 16:02:10	0.10000	31.34967	0.69409	0.4930	         0.2465	0.5000	0.3302	         0.4930	0.0000	0.5000
distilbert	1/10	2024-01-31 16:08:43	0.10000	36.90311	0.69353	0.5070	         0.2535	0.5000	0.3364	         0.5070	0.0000	0.5000
