Timestamp	Accuracy	Precision	Recall	F1 Score Macro	F1 Score Micro	MCC	AUROC
2024-01-10 12:58:10	0.8375	0.8473	0.8357	0.8358	0.8375	0.6829	0.9356
2024-01-10 13:09:41	0.8650	0.8680	0.8660	0.8649	0.8650	0.7340	0.9459
2024-01-10 13:21:12	0.8680	0.8703	0.8672	0.8676	0.8680	0.7375	0.9441
2024-01-10 13:32:44	0.8560	0.8569	0.8560	0.8559	0.8560	0.7129	0.9389
2024-01-10 13:44:13	0.8750	0.8753	0.8750	0.8750	0.8750	0.7503	0.9507
2024-01-10 13:55:44	0.8740	0.8761	0.8740	0.8738	0.8740	0.7501	0.9492
2024-01-10 14:07:18	0.8580	0.8589	0.8578	0.8579	0.8580	0.7167	0.9384
2024-01-10 14:18:50	0.8640	0.8646	0.8639	0.8639	0.8640	0.7284	0.9464
2024-01-10 14:30:23	0.8690	0.8691	0.8690	0.8690	0.8690	0.7380	0.9466
2024-01-10 14:41:56	0.8505	0.8600	0.8507	0.8496	0.8505	0.7106	0.9408
2024-01-10 14:53:28	0.8645	0.8647	0.8645	0.8645	0.8645	0.7292	0.9484
2024-01-10 15:05:01	0.8700	0.8715	0.8701	0.8699	0.8700	0.7416	0.9484
